Field Name,Field Path,Lucene Path,CV DOMAIN,Display Name,Lucene  Status,,Description,FinalField,Status,Data Type,Data to include,,,,,,,,,,,,,
Sequence Type,/protein/sequenceType,root_protein_sequenceType,SEQUENCE_TYPE,Protein Sequence Type,,,"The type of sequence being specified (e.g. ""incomplete"", ""complete"").",sequenceType,Current,string,,,,,,,,,,,,,,
Subunits,/protein/subunits,,,Protein Subunits,REMOVE LUCENE PATH,,"The list of Subunits found in this nucleic acid. Each subunit is described by a sequence of nucleobases. Double stranded nucleic acids should typically be represented by 2 subunits, while single-stranded nucleic acids will more typically be represented with 1.",subunits,Current,array <Subunit>,,,,,,,,,,,,,,
Access,/protein/subunits/?/access,root_protein_subunits_access,ACCESS_GROUP,Protein Subunit Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Created,/protein/subunits/?/created,root_protein_subunits_created,,Protein Subunit Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/protein/subunits/?/createdBy,root_protein_subunits_createdBy,,Protein Subunit Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/protein/subunits/?/deprecated,root_protein_subunits_deprecated,,Protein Subunit Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/protein/subunits/?/lastEdited,root_protein_subunits_lastEdited,,Protein Subunit Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/protein/subunits/?/lastEditedBy,root_protein_subunits_lastEditedBy,,Protein Subunit Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
References,/protein/subunits/?/references,,,Protein Subunit References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Sequence,/protein/subunits/?/sequence,root_protein_subunits_sequence,,Protein Sequence,,,"The amino acid sequence as a string of 1-letter amino acids, from N-term to C-term. Lower-case letters represent D-amino acids, while upper-case are the standard L-amino acids.",sequence,Current,string,,,,,,,,,,,,,,
Subunit Index,/protein/subunits/?/subunitIndex,root_protein_subunits_subunitIndex,,Protein Subunit Subunit Index,,,The index of the subunit being specified.,subunitIndex,Current,number,,,,,,,,,,,,,,
Uuid,/protein/subunits/?/uuid,root_protein_subunits_uuid,,Protein Subunit UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Uuid,/protein/uuid,root_protein_uuid,,Protein UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
References,/references,,,Record References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <Reference>,,,,,,,,,,,,,,
Access,/references/?/access,root_references_access,ACCESS_GROUP,Reference Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
CITATION,/references/?/citation,root_references_citation,,Reference Text / Citation,,,The reference text or citation.,citation,Current,string,,,,,,,,,,,,,,
Created,/references/?/created,root_references_created,,Reference Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/references/?/createdBy,root_references_createdBy,,Reference Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/references/?/deprecated,root_references_deprecated,,Reference Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Document Date,/references/?/documentDate,root_references_documentDate,,Reference Document Date,,,The date that the document or reference was obtained / accessed.,documentDate,Current,number,,,,,,,,,,,,,,
Id,/references/?/id,root_references_id,,Reference ID,,,The identifier of the structural element itself (this is still a UUID).,id,Current,string,,,,,,,,,,,,,,
Last Edited,/references/?/lastEdited,root_references_lastEdited,,Reference Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/references/?/lastEditedBy,root_references_lastEditedBy,,Reference Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Public Domain,/references/?/publicDomain,root_references_publicDomain,,Reference Public Domain,,,A marking of whether the reference itself is known to be publicly accessible.,publicDomain,Current,boolean,,,,,,,,,,,,,,
Tags,/references/?/tags,root_references_tags_term,DOCUMENT_COLLECTION,Reference Tags,UPDATE LUCENE PATH & FIX BACKEND,,"A collection of strings which mark the reference as having specific properties (nomenclature, spectra, definition, etc).",tags,Current,array <string>,,,,,,,,,,,,,,
Uploaded File,/references/?/uploadedFile,root_references_uploadedFile,,Reference Uploaded File,,,the file path of the associated files.,uploadedFile,Current,string,,,,,,,,,,,,,,
Url,/references/?/url,root_references_url,,Reference URL,,,The url to further information regarding this reference.,url,Current,string,,,,,,,,,,,,,,
Uuid,/references/?/uuid,root_references_uuid,,Reference UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Access,/relationships/?/access,root_relationships_access,ACCESS_GROUP,Relationship Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Amount,/relationships/?/amount,,,Relationship Amount,REMOVE LUCENE PATH,,"The value or amount that describes the relationship between the two records. An amount is not always present, but sometimes quantifies the interaction between two records in some context (e.g. ""the IC50 for an inhibitor"").",amount,Current,object <Amount>,,,,,,,,,,,,,,
Access,/relationships/?/amount/access,root_relationships_amount_access,ACCESS_GROUP,Relationship Amount Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Average,/relationships/?/amount/average,root_relationships_amount_average,,Relationship Amount Average,,,The amount's numeric average if present.,average,Current,number,,,,,,,,,,,,,,
Created,/relationships/?/amount/created,root_relationships_amount_created,,Relationship Amount Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/relationships/?/amount/createdBy,root_relationships_amount_createdBy,,Relationship Amount Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/relationships/?/amount/deprecated,root_relationships_amount_deprecated,,Relationship Amount Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
High,/relationships/?/amount/high,root_relationships_amount_high,,Relationship Amount High,,,The highest numerical value likely for the average amount. (highest average).,high,Current,number,,,,,,,,,,,,,,
High Limit,/relationships/?/amount/highLimit,root_relationships_amount_highLimit,,Relationship Amount High Limit,,,The highest allowable numeric value usable for the amount. (highest limit).,highLimit,Current,number,,,,,,,,,,,,,,
Last Edited,/relationships/?/amount/lastEdited,root_relationships_amount_lastEdited,,Relationship Amount Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/relationships/?/amount/lastEditedBy,root_relationships_amount_lastEditedBy,,Relationship Amount Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Low,/relationships/?/amount/low,root_relationships_amount_low,,Relationship Amount Low,,,The lowest numerical value likely for the average amount. (lowest average).,low,Current,number,,,,,,,,,,,,,,
Low Limit,/relationships/?/amount/lowLimit,root_relationships_amount_lowLimit,,Relationship Amount Low Limit,,,The lowest allowable numeric value usable for the amount. (lowest limit).,lowLimit,Current,number,,,,,,,,,,,,,,
Non Numeric Value,/relationships/?/amount/nonNumericValue,root_relationships_amount_nonNumericValue,,Relationship Amount Non-Numeric Value,,,"A textual description of a value which can not be quantified numerically. For example, ""solubility"" may be described quantitatively or it may be described with certain textual categories. Non-numeric values are meant to specify qualitative values and other values not easily described by numbers or ranges of numbers.",nonNumericValue,Current,string,,,,,,,,,,,,,,
References,/relationships/?/amount/references,,,Relationship Amount References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Type,/relationships/?/amount/type,root_relationships_amount_type,AMOUNT_TYPE,Relationship Amount Type,,,"The type of the amount specified ('mol ratio'. 'degree of polymerization', 'weight ratio', etc.).",type,Current,string,,,,,,,,,,,,,,
Units,/relationships/?/amount/units,root_relationships_amount_units,AMOUNT_UNIT,Relationship Amount Units,,,The amount's unit of measurement.,units,Current,string,,,,,,,,,,,,,,
Uuid,/relationships/?/amount/uuid,root_relationships_amount_uuid,,Relationship Amount UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Comments,/relationships/?/comments,root_relationships_comments,,Relationship Comments,,,Any comments regarding the relationship.,comments,Current,string,,,,,,,,,,,,,,
Created,/relationships/?/created,root_relationships_created,,Relationship Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/relationships/?/createdBy,root_relationships_createdBy,,Relationship Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/relationships/?/deprecated,root_relationships_deprecated,,Relationship Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Interaction Type,/relationships/?/interactionType,root_relationships_interactionType,INTERACTION_TYPE,Relationship Interaction Type,,,"The type of interaction which occurs between the two specified substance records, if applicable.",interactionType,Current,string,,,,,,,,,,,,,,
Mediator Substance,/relationships/?/mediatorSubstance,,,Relationship Mediator Substance,REMOVE LUCENE PATH,,"A reference to the substance which is considered to be mediating the relationship or interaction between the two substance records. For example, in a metabolism relationship the mediator will typically be the metabolizing enzyme.",mediatorSubstance,Current,object <SubstanceReference>,,,,,,,,,,,,,,
Access,/relationships/?/mediatorSubstance/access,root_relationships_mediatorSubstance_access,ACCESS_GROUP,Mediator Substance Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Approval ID (UNII),/relationships/?/mediatorSubstance/approvalID,root_relationships_mediatorSubstance_approvalID,,Mediator Substance Approval ID,,,"The Unique Ingredient Identifier (UNII, aka ""Approval ID"") is a unique ID generated for each substance record.",approvalID,Current,string,,,,,,,,,,,,,,
Created,/relationships/?/mediatorSubstance/created,root_relationships_mediatorSubstance_created,,Mediator Substance Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/relationships/?/mediatorSubstance/createdBy,root_relationships_mediatorSubstance_createdBy,,Mediator Substance Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/relationships/?/mediatorSubstance/deprecated,root_relationships_mediatorSubstance_deprecated,,Mediator Substance Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/relationships/?/mediatorSubstance/lastEdited,root_relationships_mediatorSubstance_lastEdited,,Mediator Substance Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/relationships/?/mediatorSubstance/lastEditedBy,root_relationships_mediatorSubstance_lastEditedBy,,Mediator Substance Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Linking Id,/relationships/?/mediatorSubstance/linkingID,root_relationships_mediatorSubstance_linkingID,,Mediator Substance Linking ID,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,"The approvalID of the record if it exists, otherwise some compact and exchangable ID useful for linking to the referenced record (often the first 8 chars of its uuid).",linkingID,Deprecated,string,,,,,,,,,,,,,,
Name,/relationships/?/mediatorSubstance/name,root_relationships_mediatorSubstance_name,,Mediator Substance Name,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The literal string text of a name.,name,Deprecated,string,,,,,,,,,,,,,,
References,/relationships/?/mediatorSubstance/references,,,Mediator Substance References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Ref Pname,/relationships/?/mediatorSubstance/refPname,root_relationships_mediatorSubstance_refPname,,Mediator Substance Preferred Name,,,"The ""Priority Name"" (usually the display name) of the record being referenced.",refPname,Current,string,,,,,,,,,,,,,,
Refuuid,/relationships/?/mediatorSubstance/refuuid,root_relationships_mediatorSubstance_refuuid,,Mediator Substance Refuuid,,,The UUID of the related record.,refuuid,Current,string,,,,,,,,,,,,,,
Substance Class,/relationships/?/mediatorSubstance/substanceClass,root_relationships_mediatorSubstance_substanceClass,,Mediator Substance Substance Class,,,"This value wall always be ""reference"" if it is intended as a real reference and ""mention"" if it is a place-holder. However, it can also specify a full substance class, in which case the whole record reference object is meant to be a full entire record rather than a reference.",substanceClass,Current,string,,,,,,,,,,,,,,
Uuid,/relationships/?/mediatorSubstance/uuid,root_relationships_mediatorSubstance_uuid,,Mediator Substance UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Originator UUID,/relationships/?/originatorUuid,root_relationships_originatorUuid,,Relationship Originator UUID,,,The UUID of the equivalent inverted relationship (if present) on the other record.,originatorUuid,Current,string,,,,,,,,,,,,,,
Qualification,/relationships/?/qualification,root_relationships_qualification,QUALIFICATION,Relationship Qualification,,,Any qualifier needed to describe the relationship / interaction between the two records.,qualification,Current,string,,,,,,,,,,,,,,
References,/relationships/?/references,,,Relationship References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Related Substance,/relationships/?/relatedSubstance,,,Relationship Related Substance,REMOVE LUCENE PATH,,A reference to the related substance (or concept) record.,relatedSubstance,Current,object <SubstanceReference>,,,,,,,,,,,,,,
Access,/relationships/?/relatedSubstance/access,root_relationships_relatedSubstance_access,ACCESS_GROUP,Related Substance Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Approval ID (UNII),/relationships/?/relatedSubstance/approvalID,root_relationships_relatedSubstance_approvalID,,Related Substance Approval ID,,,"The Unique Ingredient Identifier (UNII, aka ""Approval ID"") is a unique ID generated for each substance record.",approvalID,Current,string,,,,,,,,,,,,,,
Created,/relationships/?/relatedSubstance/created,root_relationships_relatedSubstance_created,,Related Substance Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/relationships/?/relatedSubstance/createdBy,root_relationships_relatedSubstance_createdBy,,Related Substance Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/relationships/?/relatedSubstance/deprecated,root_relationships_relatedSubstance_deprecated,,Related Substance Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/relationships/?/relatedSubstance/lastEdited,root_relationships_relatedSubstance_lastEdited,,Related Substance Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/relationships/?/relatedSubstance/lastEditedBy,root_relationships_relatedSubstance_lastEditedBy,,Related Substance Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Linking Id,/relationships/?/relatedSubstance/linkingID,root_relationships_relatedSubstance_linkingID,,Related Substance Linking ID,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,"The approvalID of the record if it exists, otherwise some compact and exchangable ID useful for linking to the referenced record (often the first 8 chars of its uuid).",linkingID,Deprecated,string,,,,,,,,,,,,,,
Name,/relationships/?/relatedSubstance/name,root_relationships_relatedSubstance_name,,Related Substance Original Name,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The literal string text of a name.,name,Deprecated,string,,,,,,,,,,,,,,
References,/relationships/?/relatedSubstance/references,,,Related Substance References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Refuuid,/relationships/?/relatedSubstance/refuuid,root_relationships_relatedSubstance_refuuid,,Related Substance Refuuid,,,The UUID of the related record.,refuuid,Current,string,,,,,,,,,,,,,,
Substance Class,/relationships/?/relatedSubstance/substanceClass,root_relationships_relatedSubstance_substanceClass,,Related Substance Substance Class,,,"This value wall always be ""reference"" if it is intended as a real reference and ""mention"" if it is a place-holder. However, it can also specify a full substance class, in which case the whole record reference object is meant to be a full entire record rather than a reference.",substanceClass,Current,string,,,,,,,,,,,,,,
Uuid,/relationships/?/relatedSubstance/uuid,root_relationships_relatedSubstance_uuid,,Related Substance UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Type,/relationships/?/type,root_relationships_type,RELATIONSHIP_TYPE,Relationship Type,,,"The type of relationship (e.g. 'parent -> salt solvate', 'active moiety', 'inhibitor -> 'target', 'toxin -> conjugate' etc.).",type,Current,string,,,,,,,,,,,,,,
Uuid,/relationships/?/uuid,root_relationships_uuid,,Relationship UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Specified Substance,/specifiedSubstance,,,SpecifiedSubstance,REMOVE LUCENE PATH,,An explicit grouping of elements and concepts that are brought together and do not undergo a chemical transformation,,Current,object <SpecifiedSubstance>,,,,,,,,,,,,,,
Access,/specifiedSubstance/access,root_specifiedSubstance_access,ACCESS_GROUP,SpecifiedSubstance Access,REMOVE LUCENE PATH,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Amount,/specifiedSubstance/constituents/?/amount,,,Constituent Amount,REMOVE LUCENE PATH,,"The value or amount that describes the relationship between the two records. An amount is not always present, but sometimes quantifies the interaction between two records in some context.",amount,Current,object <Amount>,,,,,,,,,,,,,,
Access,/specifiedSubstance/constituents/?/amount/access,root_specifiedSubstance_constituents_amount_access,ACCESS_GROUP,Constituent Amount Access,REMOVE LUCENE PATH,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Average,/specifiedSubstance/constituents/?/amount/average,root_specifiedSubstance_constituents_amount_average,,Constituent Amount Average,,,The amount's numeric average if present.,average,Current,number,,,,,,,,,,,,,,
Created,/specifiedSubstance/constituents/?/amount/created,root_specifiedSubstance_constituents_amount_created,,Constituent Amount Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/specifiedSubstance/constituents/?/amount/createdBy,root_specifiedSubstance_constituents_amount_createdBy,,Constituent Amount Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/specifiedSubstance/constituents/?/amount/deprecated,root_specifiedSubstance_constituents_amount_deprecated,,Constituent Amount Deprecated,REMOVE LUCENE PATH,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
High,/specifiedSubstance/constituents/?/amount/high,root_specifiedSubstance_constituents_amount_high,,Constituent Amount High,,,The highest numerical value likely for the average amount. (highest average).,high,Current,number,,,,,,,,,,,,,,
High Limit,/specifiedSubstance/constituents/?/amount/highLimit,root_specifiedSubstance_constituents_amount_highLimit,,Constituent Amount High Limit,,,The highest allowable numeric value usable for the amount. (highest limit).,highLimit,Current,number,,,,,,,,,,,,,,
Last Edited,/specifiedSubstance/constituents/?/amount/lastEdited,root_specifiedSubstance_constituents_amount_lastEdited,,Constituent Amount Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/specifiedSubstance/constituents/?/amount/lastEditedBy,root_specifiedSubstance_constituents_amount_lastEditedBy,,Constituent Amount Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Low,/specifiedSubstance/constituents/?/amount/low,root_specifiedSubstance_constituents_amount_low,,Constituent Amount Low,,,The lowest numerical value likely for the average amount. (lowest average).,low,Current,number,,,,,,,,,,,,,,
Low Limit,/specifiedSubstance/constituents/?/amount/lowLimit,root_specifiedSubstance_constituents_amount_lowLimit,,Constituent Amount Low Limit,,,The lowest allowable numeric value usable for the amount. (lowest limit).,lowLimit,Current,number,,,,,,,,,,,,,,
Non Numeric Value,/specifiedSubstance/constituents/?/amount/nonNumericValue,root_specifiedSubstance_constituents_amount_nonNumericValue,,Constituent Amount Non-Numeric Value,,,"A textual description of a value which can not be quantified numerically. For example, ""solubility"" may be described quantitatively or it may be described with certain textual categories. Non-numeric values are meant to specify qualitative values and other values not easily described by numbers or ranges of numbers.",nonNumericValue,Current,string,,,,,,,,,,,,,,
References,/specifiedSubstance/constituents/?/amount/references,,,Constituent Amount References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Type,/specifiedSubstance/constituents/?/amount/type,root_specifiedSubstance_constituents_amount_type,AMOUNT_TYPE,Constituent Amount Type,,,"The type of the amount specified ('mol ratio'. 'degree of polymerization', 'weight ratio', etc.).",type,Current,string,,,,,,,,,,,,,,
Units,/specifiedSubstance/constituents/?/amount/units,root_specifiedSubstance_constituents_amount_units,AMOUNT_UNIT,Constituent Amount Units,,,The amount's unit of measurement.,units,Current,string,,,,,,,,,,,,,,
Uuid,/specifiedSubstance/constituents/?/amount/uuid,root_specifiedSubstance_constituents_amount_uuid,,Constituent Amount UUID,REMOVE LUCENE PATH,,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Role,/specifiedSubstance/constituents/?/role,root_specifiedSubstance_constituents_role,CONSTITUENT_ROLE,Constituent Role,,,"The role the constituent plays in the substance (marker substance, adjuvant, constituent, solvent, etc.).",,Current,string,,,,,,,,,,,,,,
Access,/specifiedSubstance/constituents/?/substance/access,root_specifiedSubstance_constituents_substance_access,ACCESS_GROUP,Constituent Substance Access,REMOVE LUCENE PATH,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Approval ID (UNII),/specifiedSubstance/constituents/?/substance/approvalID,root_specifiedSubstance_constituents_substance_approvalID,,Constituent Substance Approval ID,,,"The Unique Ingredient Identifier (UNII, aka ""Approval ID"") is a unique ID generated for each substance record.",approvalID,Current,string,,,,,,,,,,,,,,
Created,/specifiedSubstance/constituents/?/substance/created,root_specifiedSubstance_constituents_substance_created,,Constituent Substance Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/specifiedSubstance/constituents/?/substance/createdBy,root_specifiedSubstance_constituents_substance_createdBy,,Constituent Substance Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/specifiedSubstance/constituents/?/substance/deprecated,root_specifiedSubstance_constituents_substance_deprecated,,Constituent Substance Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/specifiedSubstance/constituents/?/substance/lastEdited,root_specifiedSubstance_constituents_substance_lastEdited,,Constituent Substance Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/specifiedSubstance/constituents/?/substance/lastEditedBy,root_specifiedSubstance_constituents_substance_lastEditedBy,,Constituent Substance Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Linking Id,/specifiedSubstance/constituents/?/substance/linkingID,root_specifiedSubstance_constituents_substance_linkingID,,Constituent Substance Linking ID,REMOVE LUCENE PATH,,"The approvalID of the record if it exists, otherwise some compact and exchangable ID useful for linking to the referenced record (often the first 8 chars of its uuid).",linkingID,Deprecated,string,,,,,,,,,,,,,,
References,/specifiedSubstance/constituents/?/substance/references,,,Constituent Substance References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Ref Pname,/specifiedSubstance/constituents/?/substance/refPname,root_specifiedSubstance_constituents_substance_refPname,,Constituent Substance Substance Name,,,"The ""Priority Name"" (usually the display name) of the record being referenced.",refPname,Current,string,,,,,,,,,,,,,,
Refuuid,/specifiedSubstance/constituents/?/substance/refuuid,root_specifiedSubstance_constituents_substance_refuuid,,Constituent Substance Refuuid,,,The UUID of the related record.,refuuid,Current,string,,,,,,,,,,,,,,
Substance Class,/specifiedSubstance/constituents/?/substance/substanceClass,root_specifiedSubstance_constituents_substance_substanceClass,,Constituent Substance Substance Class,REMOVE LUCENE PATH,,"This value wall always be ""reference"" if it is intended as a real reference and ""mention"" if it is a place-holder. However, it can also specify a full substance class, in which case the whole record reference object is meant to be a full entire record rather than a reference.",substanceClass,Current,string,,,,,,,,,,,,,,
Uuid,/specifiedSubstance/constituents/?/substance/uuid,root_specifiedSubstance_constituents_substance_uuid,,Constituent Substance UUID,,,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Created,/specifiedSubstance/created,root_specifiedSubstance_created,,SpecifiedSubstance Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
